stid,hisei,hisced,famstruc,sex,hlang,wealth,m2m_p,m2m_s,wkp2019,hsl2019,hel2019,fts2019,sa3,brthplace_aust_2011_ce_p,brthplace_elsewhere_2011_ce_p,lsh_eng_only_2011_ce_p,lsh_oth_lan_2011_ce_p,med_tot_hh_inc_wee_c2011,average_hh_size_c2011,lfs_unem_lfw_c11_m,lfs_tot_lforc_c11_m,n_lforc_c11_m
1,44,5 ISCED 5B - TAFE Diploma,2 Nuclear family,2 Male,1 Language of test,.71,"1 No, never","1 No, never",1531.24,1 Year 12,BA,3 Not studying,40401,69485,28032,70484,27866,1015,2.4,1601,26291,13254
2,25,"4 ISCED 3A - Year 12, ISCED 4 - TAFE Training Certificate",2 Nuclear family,1 Female,1 Language of test,1.33,"1 No, never","1 No, never",1064.4,1 Year 12,BA,3 Not studying,21201,58779,12259,66350,5205,1303,2.8,822,20581,6019
3,50,"6 ISCED 5A - Uni degree, ISCED 6 - PhD or equivalent",2 Nuclear family,1 Female,1 Language of test,1,"2 Yes, once","2 Yes, once",,1 Year 12,BA,3 Not studying,11601,70172,49124,71582,48633,1306,2.9,2168,33459,12593
4,69,"6 ISCED 5A - Uni degree, ISCED 6 - PhD or equivalent",2 Nuclear family,2 Male,1 Language of test,.46,"1 No, never","1 No, never",,1 Year 12,BA,3 Not studying,10703,66176,14064,73426,7625,1152,2.7,1241,20900,9941
5,88,"6 ISCED 5A - Uni degree, ISCED 6 - PhD or equivalent",2 Nuclear family,1 Female,1 Language of test,1.33,"1 No, never","1 No, never",874.24,1 Year 12,Post-grad,3 Not studying,21305,100761,56396,106469,50848,1410,2.9,2572,46433,13006
6,77,"6 ISCED 5A - Uni degree, ISCED 6 - PhD or equivalent",2 Nuclear family,1 Female,1 Language of test,1.78,"1 No, never","1 No, never",495.21,1 Year 12,BA,2 Part-time,30403,30097,14623,35569,9294,1594,2.5,969,13137,5405
7,23,"4 ISCED 3A - Year 12, ISCED 4 - TAFE Training Certificate",2 Nuclear family,1 Female,2 Another language,.71,"1 No, never","1 No, never",,1 Year 12,BA,3 Not studying,51104,42680,7418,47346,2873,1128,2.5,760,14779,5378
8,88,"6 ISCED 5A - Uni degree, ISCED 6 - PhD or equivalent",1 Single parent family,1 Female,1 Language of test,1.01,"1 No, never","1 No, never",,2 Year 11,BA,3 Not studying,30503,53503,18002,62044,9727,1721,2.3,1088,23468,5927
9,43,5 ISCED 5B - TAFE Diploma,2 Nuclear family,1 Female,1 Language of test,3.45,"1 No, never","2 Yes, once",,3 Year 10,Cert III/IV/Dip,3 Not studying,10703,66176,14064,73426,7625,1152,2.7,1241,20900,9941
10,69,"6 ISCED 5A - Uni degree, ISCED 6 - PhD or equivalent",2 Nuclear family,1 Female,1 Language of test,.7,"1 No, never","1 No, never",,1 Year 12,BA,3 Not studying,12802,84679,17648,91667,11261,1812,2.9,1084,30510,9110
11,71,"6 ISCED 5A - Uni degree, ISCED 6 - PhD or equivalent",2 Nuclear family,2 Male,1 Language of test,.45,"2 Yes, once","1 No, never",471.69,1 Year 12,Post-grad,1 Full-time,21003,38964,24267,33669,30134,1043,2.6,1022,16537,8525
12,71,"6 ISCED 5A - Uni degree, ISCED 6 - PhD or equivalent",2 Nuclear family,2 Male,1 Language of test,.99,"1 No, never","1 No, never",2060.75,1 Year 12,Post-grad,3 Not studying,10302,48913,2584,51246,987,824,2.4,690,13182,6940
13,66,"6 ISCED 5A - Uni degree, ISCED 6 - PhD or equivalent",2 Nuclear family,1 Female,1 Language of test,.71,"1 No, never","1 No, never",,1 Year 12,Cert III/IV/Dip,3 Not studying,31103,49922,19034,58858,10629,1306,3,1329,19593,5875
14,69,"6 ISCED 5A - Uni degree, ISCED 6 - PhD or equivalent",2 Nuclear family,2 Male,1 Language of test,.7,"1 No, never","1 No, never",612.0700000000001,1 Year 12,No qual,3 Not studying,40501,28010,3953,31435,767,1101,2.5,351,9171,3521
15,34,"4 ISCED 3A - Year 12, ISCED 4 - TAFE Training Certificate",1 Single parent family,2 Male,1 Language of test,.2,"1 No, never","1 No, never",2118.92,3 Year 10,Cert III/IV/Dip,3 Not studying,50403,66121,31097,81106,16501,1457,2.8,1239,28853,7832
16,56,"6 ISCED 5A - Uni degree, ISCED 6 - PhD or equivalent",2 Nuclear family,2 Male,1 Language of test,.98,"1 No, never","1 No, never",1730.7,1 Year 12,Cert III/IV/Dip,3 Not studying,12403,95754,23150,105699,13857,1423,2.8,1720,34674,10152
17,43,"6 ISCED 5A - Uni degree, ISCED 6 - PhD or equivalent",2 Nuclear family,1 Female,1 Language of test,.7,"1 No, never","2 Yes, once",778.41,1 Year 12,Cert III/IV/Dip,3 Not studying,10202,123533,17954,136940,5934,932,2.5,2695,34109,19381
18,54,"4 ISCED 3A - Year 12, ISCED 4 - TAFE Training Certificate",1 Single parent family,1 Female,1 Language of test,1.34,"1 No, never","1 No, never",1093.21,1 Year 12,Cert III/IV/Dip,1 Full-time,31105,37522,14504,46752,5620,1354,2.8,924,15007,4762
19,36,"3 ISCED 3B, 3C - Yr 10 or 11",1 Single parent family,1 Female,1 Language of test,.58,"2 Yes, once","1 No, never",1170.38,1 Year 12,BA,3 Not studying,10202,123533,17954,136940,5934,932,2.5,2695,34109,19381
20,65,"6 ISCED 5A - Uni degree, ISCED 6 - PhD or equivalent",2 Nuclear family,2 Male,1 Language of test,1.34,"1 No, never","1 No, never",512.51,1 Year 12,BA,3 Not studying,30501,29777,20965,37201,13796,1610,2,1195,18871,5267
21,56,"6 ISCED 5A - Uni degree, ISCED 6 - PhD or equivalent",2 Nuclear family,1 Female,1 Language of test,.7,"1 No, never","1 No, never",3490.16,1 Year 12,BA,3 Not studying,80107,67563,16338,73268,11140,1963,2.8,866,26249,6328
22,34,"4 ISCED 3A - Year 12, ISCED 4 - TAFE Training Certificate",2 Nuclear family,1 Female,2 Another language,.01,"1 No, never","1 No, never",,1 Year 12,BA,3 Not studying,20803,75801,27920,84866,19652,1318,2.5,1264,29771,10686
23,65,"6 ISCED 5A - Uni degree, ISCED 6 - PhD or equivalent",2 Nuclear family,1 Female,1 Language of test,.2,"1 No, never","1 No, never",,1 Year 12,Cert III/IV/Dip,3 Not studying,50501,89359,57435,132437,14989,1780,2.8,1743,45877,11890
24,53,"6 ISCED 5A - Uni degree, ISCED 6 - PhD or equivalent",2 Nuclear family,1 Female,1 Language of test,1.79,"1 No, never","1 No, never",,2 Year 11,BA,1 Full-time,30403,30097,14623,35569,9294,1594,2.5,969,13137,5405
25,69,"6 ISCED 5A - Uni degree, ISCED 6 - PhD or equivalent",2 Nuclear family,2 Male,1 Language of test,1.76,"1 No, never","1 No, never",,1 Year 12,BA,1 Full-time,60301,9857,853,10668,151,853,2.5,194,2806,1679
26,79,"6 ISCED 5A - Uni degree, ISCED 6 - PhD or equivalent",2 Nuclear family,2 Male,1 Language of test,1,"1 No, never","1 No, never",1204.55,1 Year 12,Cert III/IV/Dip,1 Full-time,50704,60326,33691,76972,17651,1634,2.6,1119,27239,9765
27,69,"6 ISCED 5A - Uni degree, ISCED 6 - PhD or equivalent",2 Nuclear family,2 Male,1 Language of test,.93,"1 No, never","1 No, never",2029.33,1 Year 12,Cert III/IV/Dip,2 Part-time,11101,100911,11017,108385,4663,1149,2.5,1560,29277,14578
28,59,"6 ISCED 5A - Uni degree, ISCED 6 - PhD or equivalent",2 Nuclear family,2 Male,1 Language of test,1.35,"1 No, never","2 Yes, once",,1 Year 12,BA,1 Full-time,10304,47122,4262,49798,2143,1159,2.5,575,13940,5469
29,40,"4 ISCED 3A - Year 12, ISCED 4 - TAFE Training Certificate",2 Nuclear family,1 Female,1 Language of test,.7,"1 No, never","1 No, never",874.41,1 Year 12,No qual,1 Full-time,31802,139883,23192,152671,10474,1381,2.6,2347,48225,14957
30,56,"6 ISCED 5A - Uni degree, ISCED 6 - PhD or equivalent",2 Nuclear family,1 Female,1 Language of test,.71,"1 No, never","1 No, never",,1 Year 12,Cert III/IV/Dip,1 Full-time,80101,65818,22026,71241,17018,1802,2.6,1082,26559,8345
31,56,5 ISCED 5B - TAFE Diploma,2 Nuclear family,2 Male,1 Language of test,.71,"1 No, never","1 No, never",733.21,1 Year 12,BA,1 Full-time,40102,54757,11207,62945,3157,1388,2.7,768,19328,6323
32,69,"6 ISCED 5A - Uni degree, ISCED 6 - PhD or equivalent",2 Nuclear family,1 Female,1 Language of test,.45,"1 No, never","1 No, never",1032.86,1 Year 12,Cert III/IV/Dip,3 Not studying,20607,47101,21737,51886,17474,1682,2.2,1164,22911,6342
33,43,"4 ISCED 3A - Year 12, ISCED 4 - TAFE Training Certificate",2 Nuclear family,1 Female,1 Language of test,1.34,"2 Yes, once","1 No, never",,1 Year 12,BA,3 Not studying,21401,91795,27585,107569,12910,1140,2.5,1823,34240,12359
34,69,"6 ISCED 5A - Uni degree, ISCED 6 - PhD or equivalent",1 Single parent family,1 Female,1 Language of test,.45,"1 No, never","1 No, never",1111.18,1 Year 12,BA,3 Not studying,50503,83502,60453,117868,26917,1514,2.9,1841,41615,11281
35,85,"6 ISCED 5A - Uni degree, ISCED 6 - PhD or equivalent",2 Nuclear family,2 Male,1 Language of test,1.76,"1 No, never","1 No, never",577.1900000000001,2 Year 11,BA,2 Part-time,80103,1098,250,976,77,846,1.8,32,386,421
36,70,"6 ISCED 5A - Uni degree, ISCED 6 - PhD or equivalent",2 Nuclear family,1 Female,1 Language of test,1.32,"1 No, never","1 No, never",,1 Year 12,BA,3 Not studying,40302,59722,21281,68764,12742,1064,2.3,1274,22259,10045
37,56,"4 ISCED 3A - Year 12, ISCED 4 - TAFE Training Certificate",2 Nuclear family,1 Female,1 Language of test,.45,"1 No, never","1 No, never",,1 Year 12,Cert III/IV/Dip,3 Not studying,40106,18680,7125,19659,6302,1363,2.4,373,7545,2949
38,69,"4 ISCED 3A - Year 12, ISCED 4 - TAFE Training Certificate",2 Nuclear family,1 Female,2 Another language,1.34,"1 No, never","1 No, never",1309.9,1 Year 12,Post-grad,3 Not studying,11501,83256,46915,91198,39564,2139,3.1,1675,38055,11839
39,49,"4 ISCED 3A - Year 12, ISCED 4 - TAFE Training Certificate",2 Nuclear family,2 Male,2 Another language,.47,"1 No, never","1 No, never",16.6,1 Year 12,Cert III/IV/Dip,1 Full-time,40203,38088,19747,39402,18290,966,2.4,1109,15241,8287
40,60,"6 ISCED 5A - Uni degree, ISCED 6 - PhD or equivalent",2 Nuclear family,1 Female,1 Language of test,.99,"1 No, never","1 No, never",,1 Year 12,No qual,1 Full-time,20303,50291,7558,56075,2231,1130,2.5,626,14902,7423
41,71,"6 ISCED 5A - Uni degree, ISCED 6 - PhD or equivalent",2 Nuclear family,2 Male,1 Language of test,.99,"1 No, never","1 No, never",2637.1,1 Year 12,No qual,3 Not studying,80109,22362,9447,25292,6674,1822,2.4,332,9101,3548
42,70,"6 ISCED 5A - Uni degree, ISCED 6 - PhD or equivalent",2 Nuclear family,2 Male,1 Language of test,0,"1 No, never","1 No, never",1485.8,1 Year 12,BA,3 Not studying,20703,57749,32881,60835,30268,1295,2.6,1455,24199,11232
43,55,"6 ISCED 5A - Uni degree, ISCED 6 - PhD or equivalent",2 Nuclear family,2 Male,1 Language of test,1.34,"1 No, never","1 No, never",1200.1,1 Year 12,BA,3 Not studying,21401,91795,27585,107569,12910,1140,2.5,1823,34240,12359
44,56,"4 ISCED 3A - Year 12, ISCED 4 - TAFE Training Certificate",1 Single parent family,2 Male,1 Language of test,0,"1 No, never","1 No, never",1181.18,1 Year 12,No qual,3 Not studying,31802,139883,23192,152671,10474,1381,2.6,2347,48225,14957
45,69,"6 ISCED 5A - Uni degree, ISCED 6 - PhD or equivalent",2 Nuclear family,2 Male,1 Language of test,.22,"1 No, never","1 No, never",1326.78,1 Year 12,BA,3 Not studying,50607,23668,14504,30044,8288,1605,2.3,524,11772,3956
46,70,"6 ISCED 5A - Uni degree, ISCED 6 - PhD or equivalent",2 Nuclear family,1 Female,1 Language of test,1,"1 No, never","2 Yes, once",94.09999999999999,1 Year 12,Post-grad,1 Full-time,20302,136648,28692,147366,18856,1048,2.4,2596,44194,20410
47,70,"6 ISCED 5A - Uni degree, ISCED 6 - PhD or equivalent",2 Nuclear family,1 Female,1 Language of test,.99,"1 No, never","1 No, never",1320.2,1 Year 12,Post-grad,3 Not studying,50301,40649,19971,52778,8068,2109,2.6,673,16770,6777
48,66,"6 ISCED 5A - Uni degree, ISCED 6 - PhD or equivalent",2 Nuclear family,1 Female,1 Language of test,1.78,"1 No, never","1 No, never",1990.74,1 Year 12,BA,3 Not studying,40205,66873,21737,79475,9673,1247,2.5,1230,25522,9720
49,67,5 ISCED 5B - TAFE Diploma,2 Nuclear family,1 Female,1 Language of test,1.33,"1 No, never","1 No, never",,1 Year 12,BA,3 Not studying,12802,84679,17648,91667,11261,1812,2.9,1084,30510,9110
50,71,"6 ISCED 5A - Uni degree, ISCED 6 - PhD or equivalent",2 Nuclear family,2 Male,1 Language of test,.44,"3 Yes, twice or more","1 No, never",,1 Year 12,BA,3 Not studying,60302,14516,2665,16785,558,865,2.4,298,4199,2742
51,70,"6 ISCED 5A - Uni degree, ISCED 6 - PhD or equivalent",2 Nuclear family,1 Female,1 Language of test,2.38,"1 No, never","1 No, never",1126.15,1 Year 12,Post-grad,3 Not studying,11903,63311,47772,55677,56231,1293,2.8,1743,30113,13634
52,53,"6 ISCED 5A - Uni degree, ISCED 6 - PhD or equivalent",1 Single parent family,1 Female,2 Another language,.96,"1 No, never","1 No, never",,2 Year 11,Post-grad,3 Not studying,20604,38468,44527,47424,35748,1352,2,2103,27482,10679
53,34,5 ISCED 5B - TAFE Diploma,1 Single parent family,1 Female,1 Language of test,1.33,"1 No, never","1 No, never",1632.74,1 Year 12,BA,3 Not studying,11102,60164,7089,65424,2300,1061,2.6,972,16788,9707
54,69,"6 ISCED 5A - Uni degree, ISCED 6 - PhD or equivalent",2 Nuclear family,2 Male,1 Language of test,1.34,"2 Yes, once","1 No, never",1185.23,1 Year 12,Post-grad,3 Not studying,20904,105359,53508,93026,67154,1287,3,2308,44596,16806
55,69,5 ISCED 5B - TAFE Diploma,2 Nuclear family,1 Female,1 Language of test,1.77,"1 No, never","1 No, never",1039.26,1 Year 12,BA,3 Not studying,40304,119526,35139,145916,9707,1083,2.5,2650,42854,17675
56,65,"6 ISCED 5A - Uni degree, ISCED 6 - PhD or equivalent",2 Nuclear family,2 Male,1 Language of test,.6899999999999999,"1 No, never","1 No, never",1151.32,1 Year 12,Cert III/IV/Dip,3 Not studying,12203,95337,39642,112680,22652,1721,2.7,1410,39340,12776
57,69,5 ISCED 5B - TAFE Diploma,1 Single parent family,1 Female,1 Language of test,1.34,"1 No, never","1 No, never",,2 Year 11,Cert III/IV/Dip,3 Not studying,60401,41380,4056,45078,988,836,2.4,867,11191,6338
58,44,"6 ISCED 5A - Uni degree, ISCED 6 - PhD or equivalent",2 Nuclear family,2 Male,2 Another language,.7,"1 No, never","1 No, never",1757.92,1 Year 12,BA,3 Not studying,12104,50188,30828,66261,15130,2257,2.1,968,26455,6154
59,65,"6 ISCED 5A - Uni degree, ISCED 6 - PhD or equivalent",2 Nuclear family,1 Female,1 Language of test,.2,"1 No, never","1 No, never",2184.28,1 Year 12,Post-grad,3 Not studying,50704,60326,33691,76972,17651,1634,2.6,1119,27239,9765
60,52,"6 ISCED 5A - Uni degree, ISCED 6 - PhD or equivalent",2 Nuclear family,2 Male,1 Language of test,1.33,"1 No, never","1 No, never",,1 Year 12,BA,3 Not studying,30502,26776,8654,31686,3877,1904,2.4,492,11856,2484
61,51,5 ISCED 5B - TAFE Diploma,2 Nuclear family,1 Female,1 Language of test,.45,"1 No, never","1 No, never",673.85,1 Year 12,BA,3 Not studying,21704,42122,3273,44652,1177,1032,2.5,598,12712,4756
62,77,"6 ISCED 5A - Uni degree, ISCED 6 - PhD or equivalent",2 Nuclear family,1 Female,1 Language of test,1.77,"3 Yes, twice or more","1 No, never",828.38,1 Year 12,BA,2 Part-time,60105,36197,10212,40416,6129,1261,2.3,823,13101,5884
63,50,"6 ISCED 5A - Uni degree, ISCED 6 - PhD or equivalent",2 Nuclear family,1 Female,1 Language of test,.02,"1 No, never","1 No, never",917.73,1 Year 12,Cert III/IV/Dip,3 Not studying,31603,37975,10092,46148,2366,983,2.3,1036,13233,5925
64,66,"6 ISCED 5A - Uni degree, ISCED 6 - PhD or equivalent",2 Nuclear family,1 Female,1 Language of test,1.34,"1 No, never","1 No, never",846.77,1 Year 12,BA,2 Part-time,50702,21496,10110,27107,4681,1389,2.3,455,9172,3628
65,71,"6 ISCED 5A - Uni degree, ISCED 6 - PhD or equivalent",2 Nuclear family,1 Female,1 Language of test,1.35,"1 No, never","1 No, never",,1 Year 12,Post-grad,3 Not studying,20701,107744,45022,115982,37463,1893,2.6,2009,43554,15975
66,65,"6 ISCED 5A - Uni degree, ISCED 6 - PhD or equivalent",2 Nuclear family,2 Male,1 Language of test,1.34,"1 No, never","1 No, never",,1 Year 12,BA,3 Not studying,80107,67563,16338,73268,11140,1963,2.8,866,26249,6328
67,51,"6 ISCED 5A - Uni degree, ISCED 6 - PhD or equivalent",2 Nuclear family,1 Female,1 Language of test,.99,"1 No, never","1 No, never",,1 Year 12,BA,3 Not studying,31801,37540,3386,38722,2581,981,2.5,557,11179,4897
68,50,"6 ISCED 5A - Uni degree, ISCED 6 - PhD or equivalent",2 Nuclear family,2 Male,2 Another language,0,"2 Yes, once","1 No, never",1620,1 Year 12,BA,3 Not studying,21205,82520,73119,84237,72379,1319,2.7,2661,42930,21327
69,69,"6 ISCED 5A - Uni degree, ISCED 6 - PhD or equivalent",2 Nuclear family,2 Male,1 Language of test,.97,"3 Yes, twice or more","1 No, never",708.62,1 Year 12,BA,1 Full-time,20606,32597,16683,38469,11076,1697,2,697,16577,4496
70,45,"3 ISCED 3B, 3C - Yr 10 or 11",2 Nuclear family,1 Female,1 Language of test,1,"1 No, never","1 No, never",,2 Year 11,Cert III/IV/Dip,3 Not studying,60403,15287,1707,16854,386,956,2.4,281,4904,2028
71,66,"6 ISCED 5A - Uni degree, ISCED 6 - PhD or equivalent",1 Single parent family,2 Male,1 Language of test,.01,"1 No, never","2 Yes, once",1927.7,1 Year 12,BA,3 Not studying,60401,41380,4056,45078,988,836,2.4,867,11191,6338
72,51,"3 ISCED 3B, 3C - Yr 10 or 11",1 Single parent family,1 Female,1 Language of test,1.49,"1 No, never","1 No, never",855.39,2 Year 11,Cert III/IV/Dip,2 Part-time,60302,14516,2665,16785,558,865,2.4,298,4199,2742
73,52,"6 ISCED 5A - Uni degree, ISCED 6 - PhD or equivalent",2 Nuclear family,1 Female,1 Language of test,1.35,"1 No, never","1 No, never",,1 Year 12,Cert III/IV/Dip,1 Full-time,40304,119526,35139,145916,9707,1083,2.5,2650,42854,17675
74,49,"6 ISCED 5A - Uni degree, ISCED 6 - PhD or equivalent",1 Single parent family,1 Female,1 Language of test,1.78,"1 No, never","1 No, never",,1 Year 12,BA,1 Full-time,10106,29778,2728,31793,1035,1068,2.5,364,8903,3661
75,23,"4 ISCED 3A - Year 12, ISCED 4 - TAFE Training Certificate",2 Nuclear family,1 Female,1 Language of test,.22,"1 No, never","1 No, never",,1 Year 12,BA,3 Not studying,10502,18752,982,19382,476,791,2.3,431,4803,3094
76,51,"4 ISCED 3A - Year 12, ISCED 4 - TAFE Training Certificate",2 Nuclear family,1 Female,1 Language of test,1.35,"1 No, never","1 No, never",1632.49,1 Year 12,BA,3 Not studying,40403,38437,16822,39071,16413,1023,2.3,926,15634,7150
77,39,"4 ISCED 3A - Year 12, ISCED 4 - TAFE Training Certificate",2 Nuclear family,2 Male,1 Language of test,1.33,"1 No, never","2 Yes, once",1233.85,1 Year 12,No qual,3 Not studying,21304,85950,32251,85921,32278,1349,2.9,1801,33630,10332
78,16,"4 ISCED 3A - Year 12, ISCED 4 - TAFE Training Certificate",2 Nuclear family,2 Male,1 Language of test,.44,"1 No, never","1 No, never",2367.74,1 Year 12,Cert I/II,3 Not studying,40702,54710,5995,58561,2575,937,2.4,949,17403,6719
79,70,"6 ISCED 5A - Uni degree, ISCED 6 - PhD or equivalent",2 Nuclear family,1 Female,1 Language of test,1,"1 No, never","1 No, never",1674.64,1 Year 12,BA,3 Not studying,50503,83502,60453,117868,26917,1514,2.9,1841,41615,11281
80,38,"3 ISCED 3B, 3C - Yr 10 or 11",2 Nuclear family,1 Female,1 Language of test,1.34,"1 No, never","1 No, never",1420.12,1 Year 12,BA,2 Part-time,80107,67563,16338,73268,11140,1963,2.8,866,26249,6328
81,48,2 ISCED 2 - Some secondary but didn't complete Yr 10,2 Nuclear family,1 Female,1 Language of test,.2,"1 No, never","1 No, never",528.27,1 Year 12,BA,3 Not studying,11103,128310,19141,136109,12679,1154,2.4,2486,40740,18618
82,23,"6 ISCED 5A - Uni degree, ISCED 6 - PhD or equivalent",2 Nuclear family,2 Male,1 Language of test,1.77,"1 No, never","1 No, never",2298.94,1 Year 12,BA,3 Not studying,50502,103104,63838,124134,43808,1345,2.4,2253,49658,17151
83,51,"6 ISCED 5A - Uni degree, ISCED 6 - PhD or equivalent",2 Nuclear family,1 Female,1 Language of test,1.33,"1 No, never","1 No, never",478.06,1 Year 12,BA,3 Not studying,30907,63171,26288,83264,6556,1481,2.9,1591,25816,7060
84,56,"4 ISCED 3A - Year 12, ISCED 4 - TAFE Training Certificate",2 Nuclear family,1 Female,1 Language of test,.2,"1 No, never","1 No, never",1320.83,1 Year 12,Cert III/IV/Dip,2 Part-time,70104,20894,4212,22545,2648,1816,2.9,268,7813,1312
85,71,"6 ISCED 5A - Uni degree, ISCED 6 - PhD or equivalent",2 Nuclear family,2 Male,1 Language of test,3.4,"1 No, never","1 No, never",70.45,1 Year 12,No qual,1 Full-time,50603,43652,40572,56448,27873,1384,2.7,1410,25291,9002
86,51,"6 ISCED 5A - Uni degree, ISCED 6 - PhD or equivalent",2 Nuclear family,2 Male,1 Language of test,.98,"2 Yes, once","2 Yes, once",914.77,1 Year 12,Cert III/IV/Dip,3 Not studying,60104,24803,5297,28465,1744,1247,2.6,386,7889,3336
87,50,5 ISCED 5B - TAFE Diploma,1 Single parent family,1 Female,1 Language of test,.21,"1 No, never","2 Yes, once",1153.11,1 Year 12,BA,3 Not studying,40102,54757,11207,62945,3157,1388,2.7,768,19328,6323
88,38,"6 ISCED 5A - Uni degree, ISCED 6 - PhD or equivalent",2 Nuclear family,2 Male,1 Language of test,1,"1 No, never","1 No, never",818.11,1 Year 12,Cert III/IV/Dip,2 Part-time,10901,49015,5447,52252,2701,1008,2.4,821,14830,6123
89,66,"6 ISCED 5A - Uni degree, ISCED 6 - PhD or equivalent",2 Nuclear family,1 Female,1 Language of test,2.38,"1 No, never","1 No, never",,1 Year 12,BA,3 Not studying,50502,103104,63838,124134,43808,1345,2.4,2253,49658,17151
90,69,"6 ISCED 5A - Uni degree, ISCED 6 - PhD or equivalent",2 Nuclear family,1 Female,1 Language of test,.45,"1 No, never","1 No, never",,1 Year 12,BA,3 Not studying,80107,67563,16338,73268,11140,1963,2.8,866,26249,6328
91,43,5 ISCED 5B - TAFE Diploma,2 Nuclear family,1 Female,1 Language of test,1,"1 No, never","1 No, never",678.16,1 Year 12,BA,2 Part-time,60202,18317,2671,20785,441,877,2.4,315,5294,2995
92,30,1 ISCED 1 - Primary school only,2 Nuclear family,1 Female,2 Another language,1.01,"1 No, never","2 Yes, once",,1 Year 12,BA,3 Not studying,20904,105359,53508,93026,67154,1287,3,2308,44596,16806
93,40,"6 ISCED 5A - Uni degree, ISCED 6 - PhD or equivalent",2 Nuclear family,2 Male,1 Language of test,.99,"1 No, never","1 No, never",2424.39,1 Year 12,BA,2 Part-time,11802,69563,49644,79916,38759,1578,2.4,1953,33897,15155
94,66,"6 ISCED 5A - Uni degree, ISCED 6 - PhD or equivalent",2 Nuclear family,1 Female,1 Language of test,.21,"1 No, never","1 No, never",506.66,1 Year 12,BA,3 Not studying,21305,100761,56396,106469,50848,1410,2.9,2572,46433,13006
95,66,"6 ISCED 5A - Uni degree, ISCED 6 - PhD or equivalent",1 Single parent family,2 Male,1 Language of test,.45,"1 No, never","1 No, never",2375.69,1 Year 12,Cert III/IV/Dip,3 Not studying,30101,52773,14636,62903,4920,1479,2.8,1039,20031,5979
96,56,"4 ISCED 3A - Year 12, ISCED 4 - TAFE Training Certificate",2 Nuclear family,1 Female,1 Language of test,.71,"1 No, never","2 Yes, once",1310.66,1 Year 12,BA,3 Not studying,60202,18317,2671,20785,441,877,2.4,315,5294,2995
97,69,"6 ISCED 5A - Uni degree, ISCED 6 - PhD or equivalent",2 Nuclear family,2 Male,1 Language of test,.21,"1 No, never","1 No, never",1394.85,1 Year 12,BA,3 Not studying,30201,28082,8327,31790,4808,1640,2.7,435,10739,3383
98,50,"6 ISCED 5A - Uni degree, ISCED 6 - PhD or equivalent",2 Nuclear family,2 Male,1 Language of test,1,"1 No, never","1 No, never",979.5700000000001,1 Year 12,No qual,3 Not studying,31202,92106,13245,101033,5130,1578,2.7,937,33486,8238
99,77,"6 ISCED 5A - Uni degree, ISCED 6 - PhD or equivalent",2 Nuclear family,1 Female,1 Language of test,.98,"1 No, never","1 No, never",,1 Year 12,BA,3 Not studying,80101,65818,22026,71241,17018,1802,2.6,1082,26559,8345
100,77,"6 ISCED 5A - Uni degree, ISCED 6 - PhD or equivalent",2 Nuclear family,2 Male,1 Language of test,1.34,"1 No, never","1 No, never",1645.07,1 Year 12,No qual,2 Part-time,60102,42425,4948,45728,1762,1114,2.4,717,12176,6398
101,28,"4 ISCED 3A - Year 12, ISCED 4 - TAFE Training Certificate",2 Nuclear family,2 Male,1 Language of test,1.33,"1 No, never","1 No, never",,1 Year 12,Cert III/IV/Dip,3 Not studying,31701,117082,15957,126240,7659,1095,2.5,1734,35445,14145
102,66,"6 ISCED 5A - Uni degree, ISCED 6 - PhD or equivalent",2 Nuclear family,2 Male,1 Language of test,1.89,"1 No, never","1 No, never",,1 Year 12,Cert III/IV/Dip,3 Not studying,11101,100911,11017,108385,4663,1149,2.5,1560,29277,14578
103,26,"3 ISCED 3B, 3C - Yr 10 or 11",2 Nuclear family,2 Male,1 Language of test,2.38,"1 No, never","1 No, never",,1 Year 12,No qual,3 Not studying,30702,34659,2748,36791,934,1003,2.6,371,10546,4024
104,69,"6 ISCED 5A - Uni degree, ISCED 6 - PhD or equivalent",2 Nuclear family,1 Female,1 Language of test,.21,"1 No, never","1 No, never",1073.57,1 Year 12,No qual,1 Full-time,12103,66690,38884,82884,22975,2508,2.9,1259,27822,11590
105,65,"6 ISCED 5A - Uni degree, ISCED 6 - PhD or equivalent",2 Nuclear family,1 Female,1 Language of test,1.34,"1 No, never","1 No, never",289.96,1 Year 12,BA,3 Not studying,80109,22362,9447,25292,6674,1822,2.4,332,9101,3548
106,51,"6 ISCED 5A - Uni degree, ISCED 6 - PhD or equivalent",2 Nuclear family,2 Male,1 Language of test,.45,"1 No, never","1 No, never",2116.44,1 Year 12,BA,3 Not studying,70102,32367,13694,33934,11364,1746,2.7,610,14133,4614
107,49,"6 ISCED 5A - Uni degree, ISCED 6 - PhD or equivalent",1 Single parent family,2 Male,2 Another language,1,"1 No, never","1 No, never",1188.5,1 Year 12,Post-grad,3 Not studying,20703,57749,32881,60835,30268,1295,2.6,1455,24199,11232
108,25,"4 ISCED 3A - Year 12, ISCED 4 - TAFE Training Certificate",2 Nuclear family,2 Male,1 Language of test,.01,"1 No, never","1 No, never",578.16,1 Year 12,Cert III/IV/Dip,3 Not studying,40102,54757,11207,62945,3157,1388,2.7,768,19328,6323
