stid,hisei,hisced,famstruc,sex,hlang,wealth,m2m_p,m2m_s,wkp2019,hsl2019,hel2019,fts2019,sa3,brthplace_aust_2011_ce_p,brthplace_elsewhere_2011_ce_p,lsh_eng_only_2011_ce_p,lsh_oth_lan_2011_ce_p,med_tot_hh_inc_wee_c2011,average_hh_size_c2011,lfs_unem_lfw_c11_m,lfs_tot_lforc_c11_m,n_lforc_c11_m
1273,87,"6 ISCED 5A - Uni degree, ISCED 6 - PhD or equivalent",2 Nuclear family,1 Female,1 Language of test,.2,"1 No, never","1 No, never",1809.45,1 Year 12,BA,3 Not studying,11602,45604,26847,47111,24899,1924,3.2,987,21409,5505
1274,69,"6 ISCED 5A - Uni degree, ISCED 6 - PhD or equivalent",2 Nuclear family,1 Female,1 Language of test,2.38,"1 No, never","2 Yes, once",1755.54,1 Year 12,BA,3 Not studying,50503,83502,60453,117868,26917,1514,2.9,1841,41615,11281
1275,33,"4 ISCED 3A - Year 12, ISCED 4 - TAFE Training Certificate",2 Nuclear family,2 Male,1 Language of test,.7,"1 No, never","1 No, never",,2 Year 11,Cert III/IV/Dip,3 Not studying,30605,30212,5569,33498,2651,861,2.4,639,8816,4959
1276,69,"4 ISCED 3A - Year 12, ISCED 4 - TAFE Training Certificate",2 Nuclear family,1 Female,1 Language of test,.71,"1 No, never","1 No, never",345.04,2 Year 11,Cert III/IV/Dip,3 Not studying,60106,12772,1355,13989,294,978,2.4,247,3747,1840
1277,69,"6 ISCED 5A - Uni degree, ISCED 6 - PhD or equivalent",2 Nuclear family,1 Female,1 Language of test,.44,"1 No, never","1 No, never",662.87,1 Year 12,BA,3 Not studying,50501,89359,57435,132437,14989,1780,2.8,1743,45877,11890
1278,23,"6 ISCED 5A - Uni degree, ISCED 6 - PhD or equivalent",2 Nuclear family,1 Female,1 Language of test,.99,"1 No, never","1 No, never",,1 Year 12,BA,3 Not studying,21501,52381,3918,55094,1608,854,2.3,560,14946,7805
1279,70,"6 ISCED 5A - Uni degree, ISCED 6 - PhD or equivalent",1 Single parent family,2 Male,1 Language of test,.21,"1 No, never","1 No, never",1343.52,1 Year 12,Cert III/IV/Dip,3 Not studying,40102,54757,11207,62945,3157,1388,2.7,768,19328,6323
1280,54,5 ISCED 5B - TAFE Diploma,2 Nuclear family,1 Female,1 Language of test,.44,"1 No, never","1 No, never",1386.35,1 Year 12,Cert III/IV/Dip,3 Not studying,20403,55703,6743,59758,3127,994,2.4,851,17371,7211
1281,71,"6 ISCED 5A - Uni degree, ISCED 6 - PhD or equivalent",2 Nuclear family,1 Female,1 Language of test,1.77,"1 No, never","1 No, never",,1 Year 12,BA,3 Not studying,12203,95337,39642,112680,22652,1721,2.7,1410,39340,12776
1282,51,"3 ISCED 3B, 3C - Yr 10 or 11",1 Single parent family,1 Female,1 Language of test,.44,"3 Yes, twice or more","3 Yes, twice or more",,1 Year 12,No qual,3 Not studying,60302,14516,2665,16785,558,865,2.4,298,4199,2742
